Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold All,0.012294427,0.006008869,1.012370314,1.000517177,1.024364,0.03303332,0.04178544,1.003308794,0.995125306,1.011560,-0.001167926,0.000755118,0.98516173,0.966674094,1.004003,0.00128397,0.000670787,1.008380725,0.9998,1.017035
Cold Female,0.019367067,0.008171179,1.019555825,1.003357179,1.036016,0.05408947,0.05678976,1.005423602,0.994294493,1.016677,-0.000740257,0.001022515,0.990569456,0.965481694,1.016309,0.001506486,0.000912953,1.009840262,0.998162829,1.021654
Cold Male,0.004581054,0.00820407,1.004591563,0.988566937,1.020876,0.01086495,0.05705678,1.001087085,0.989954166,1.012345,-0.001664548,0.001035418,0.97891916,0.953817638,1.004681,0.001041455,0.000914934,1.006792421,0.995125113,1.018597
Age 0-10 All,0.02526536,0.03186702,1.025587234,0.963489201,1.091688,0.2499637,0.2728171,1.025311399,0.971925832,1.081629,-0.004071707,0.00383567,0.949216995,0.862131784,1.045099,0.002249557,0.003986062,1.014729547,0.964485665,1.067591
Age 0-10 Female,-0.01162167,0.04117398,0.988445601,0.911810887,1.071521,0.0606296,0.3597563,1.006081377,0.937583672,1.079583,-0.005340038,0.004870189,0.933931217,0.826516178,1.055306,-0.003898099,0.005311502,0.974980661,0.91118787,1.043240
Age 0-10 Male,0.0588976,0.04013274,1.060666623,0.980431429,1.147468,0.4131533,0.3375861,1.042180685,0.975454712,1.113471,-0.003120338,0.004913563,0.960846775,0.849411268,1.086902,0.007352671,0.004880817,1.04895283,0.985713783,1.116249
Age 11-60 All,0.01000212,0.008170725,1.010052308,0.994005538,1.026358,0.03333754,0.0725559,1.003339317,0.989171849,1.017710,-0.000827,0.000977767,0.989470237,0.965493606,1.014042,0.002117915,0.00102262,1.013861641,1.000738541,1.027157
Age 11-60 Female,0.01614456,0.01150819,1.016275588,0.993609017,1.039459,0.009722644,0.101896447,1.000972737,0.981179912,1.021165,-0.000434716,0.001373482,0.994451089,0.960768026,1.029315,0.003647886,0.001440306,1.023994606,1.005376161,1.042958
Age 11-60 Male,0.004039336,0.011260798,1.004047505,0.982129773,1.026454,0.05483701,0.10023724,1.005498764,0.985937023,1.025449,-0.001207556,0.001350839,0.984662125,0.951851194,1.018604,0.000666074,0.001409801,1.004338867,0.9864611,1.022541
Age 60+All,0.01529163,0.007251402,1.015409145,1.001079464,1.029944,0.0854063,0.06379462,1.008577205,0.996044727,1.021267,-0.000733814,0.000876993,0.990651158,0.969092895,1.012689,0.00214686,0.000906482,1.014052407,1.002408901,1.025831
